Symptoms,Outcome,Weight
 CHEST DISCOMFORT, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),184
ABDOMINAL PAIN, HOSPITALIZATION,183
 SKIN IRRITATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),183
 DIZZINESS, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,183
 CONSTIPATION,HOSPITALIZATION,183
NAUSEA, VISITED A HEALTH CARE PROVIDER,182
DIZZINESS,VISITED A HEALTH CARE PROVIDER,182
 HEART RATE INCREASED,NON-SERIOUS INJURIES/ ILLNESS,182
 ERYTHEMA, VISITED A HEALTH CARE PROVIDER,182
DIZZINESS,VISITED AN ER,181
 TRICHORRHEXIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),181
 SWELLING, VISITED A HEALTH CARE PROVIDER,181
 MUSCLE SPASMS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),180
 EMOTIONAL DISTRESS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),180
 DYSPNOEA,SERIOUS INJURIES/ ILLNESS,180
 ABDOMINAL DISTENSION,HOSPITALIZATION,180
CHOKING,NON-SERIOUS INJURIES/ ILLNESS,179
 VISION BLURRED,VISITED A HEALTH CARE PROVIDER,178
 HOSPITALISATION, HOSPITALIZATION,178
 CONSTIPATION, HOSPITALIZATION,178
DIZZINESS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),177
DIARRHOEA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),177
 HYPERTENSION,VISITED A HEALTH CARE PROVIDER,177
 HYPERHIDROSIS,VISITED AN ER,177
 DIARRHOEA,DISABILITY,177
HYPERSENSITIVITY,VISITED AN ER,176
 SYNCOPE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),176
 LOSS OF CONSCIOUSNESS, VISITED A HEALTH CARE PROVIDER,176
 LIVER FUNCTION TEST ABNORMAL,HOSPITALIZATION,176
DYSPNOEA,VISITED A HEALTH CARE PROVIDER,175
DIZZINESS, VISITED AN ER,175
 PARAESTHESIA,VISITED AN ER,175
 NAUSEA, LIFE THREATENING,175
 HYPOAESTHESIA,NON-SERIOUS INJURIES/ ILLNESS,175
 ARTHRALGIA,NON-SERIOUS INJURIES/ ILLNESS,175
 MYOCARDIAL INFARCTION, HOSPITALIZATION,174
 FLUSHING,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),174
 DIARRHOEA,LIFE THREATENING,174
 SWOLLEN TONGUE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),173
 PRURITUS, NON-SERIOUS INJURIES/ ILLNESS,173
 LIP SWELLING,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),173
 HEPATIC ENZYME INCREASED,HOSPITALIZATION,173
CHOKING,LIFE THREATENING,172
 DECREASED APPETITE,NON-SERIOUS INJURIES/ ILLNESS,172
 BLISTER,VISITED A HEALTH CARE PROVIDER,172
 NERVOUSNESS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),171
 ANXIETY,NON-SERIOUS INJURIES/ ILLNESS,170
 ABDOMINAL PAIN UPPER, NON-SERIOUS INJURIES/ ILLNESS,170
 SYNCOPE,HOSPITALIZATION,169
 FLATULENCE,VISITED A HEALTH CARE PROVIDER,169
 BACK PAIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),169
PAIN,NON-SERIOUS INJURIES/ ILLNESS,168
 PALPITATIONS,VISITED AN ER,168
 HYPOAESTHESIA, VISITED AN ER,168
 CHROMATURIA, HOSPITALIZATION,168
 ARTHRALGIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),168
 THROAT TIGHTNESS, VISITED AN ER,167
 SYNCOPE, VISITED AN ER,167
 FALL,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),167
 BODY TEMPERATURE INCREASED, VISITED A HEALTH CARE PROVIDER,167
 BLISTER,NON-SERIOUS INJURIES/ ILLNESS,167
DYSPNOEA, LIFE THREATENING,166
 SKIN IRRITATION,NON-SERIOUS INJURIES/ ILLNESS,166
 MYALGIA,VISITED A HEALTH CARE PROVIDER,166
 INSOMNIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),166
 HYPOAESTHESIA,VISITED AN ER,166
 FALL,HOSPITALIZATION,166
 DIZZINESS, LIFE THREATENING,166
 DECREASED APPETITE, HOSPITALIZATION,166
 BLOOD ALKALINE PHOSPHATASE INCREASED,HOSPITALIZATION,166
 URTICARIA, VISITED A HEALTH CARE PROVIDER,165
 FLUSHING,NON-SERIOUS INJURIES/ ILLNESS,165
 BURNING SENSATION, VISITED A HEALTH CARE PROVIDER,165
 ANXIETY, VISITED AN ER,165
 VISION BLURRED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),164
 PYREXIA,VISITED A HEALTH CARE PROVIDER,164
 HYPOTENSION,HOSPITALIZATION,164
 CHILLS,VISITED A HEALTH CARE PROVIDER,164
 BLOOD GLUCOSE INCREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),164
TRICHORRHEXIS,NON-SERIOUS INJURIES/ ILLNESS,163
 MYALGIA,NON-SERIOUS INJURIES/ ILLNESS,163
 HYPOAESTHESIA,VISITED A HEALTH CARE PROVIDER,163
 FEAR,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),163
LOSS OF CONSCIOUSNESS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),162
 HAEMORRHAGE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),162
 FEELING ABNORMAL,NON-SERIOUS INJURIES/ ILLNESS,162
 BLOOD CREATININE INCREASED, HOSPITALIZATION,162
 ABDOMINAL PAIN, LIFE THREATENING,162
DYSPNOEA,LIFE THREATENING,161
 EYE SWELLING,VISITED A HEALTH CARE PROVIDER,161
 BACK PAIN, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),161
 ABDOMINAL PAIN, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,161
URTICARIA,VISITED A HEALTH CARE PROVIDER,160
DYSPNOEA,NON-SERIOUS INJURIES/ ILLNESS,160
 JAUNDICE,VISITED A HEALTH CARE PROVIDER,160
 INJURY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),160
 DISCOMFORT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),160
 CHILLS,HOSPITALIZATION,160
 BACK PAIN,HOSPITALIZATION,160
 PRURITUS, LIFE THREATENING,159
 HYPOAESTHESIA, HOSPITALIZATION,159
 HYPERTENSION, HOSPITALIZATION,159
 ANXIETY,HOSPITALIZATION,159
HEADACHE,HOSPITALIZATION,158
BURNING SENSATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),158
 HYPERHIDROSIS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),158
 CHEST DISCOMFORT,VISITED AN ER,158
 BODY TEMPERATURE INCREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),158
 SWELLING, HOSPITALIZATION,157
 HAEMORRHAGE,HOSPITALIZATION,157
 HAEMATOCHEZIA,HOSPITALIZATION,157
 FEELING ABNORMAL, HOSPITALIZATION,157
 ABDOMINAL DISTENSION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),157
 ABDOMINAL DISCOMFORT,HOSPITALIZATION,157
LIVER FUNCTION TEST ABNORMAL,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),156
HEART RATE INCREASED,HOSPITALIZATION,156
 RASH, HOSPITALIZATION,156
 HEART RATE INCREASED, VISITED A HEALTH CARE PROVIDER,155
 WEIGHT DECREASED,VISITED AN ER,154
 TREMOR,NON-SERIOUS INJURIES/ ILLNESS,153
 CONSTIPATION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),153
 WEIGHT DECREASED, VISITED A HEALTH CARE PROVIDER,152
 HEADACHE, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,152
 FOOD POISONING, VISITED AN ER,152
 CHROMATURIA,VISITED A HEALTH CARE PROVIDER,152
 BLOOD BILIRUBIN INCREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),152
PRURITUS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),151
PALPITATIONS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),150
PAIN,VISITED A HEALTH CARE PROVIDER,150
CHOKING,SERIOUS INJURIES/ ILLNESS,150
BLOOD PRESSURE INCREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),150
 THROAT IRRITATION,VISITED A HEALTH CARE PROVIDER,150
 PALPITATIONS,VISITED A HEALTH CARE PROVIDER,150
 MYOCARDIAL INFARCTION,HOSPITALIZATION,150
 HEADACHE,DISABILITY,150
 DYSGEUSIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),150
URTICARIA, VISITED AN ER,149
 RASH,HOSPITALIZATION,149
 PRURITUS, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,149
 FOOD POISONING,VISITED AN ER,149
 CONVULSION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),149
DRUG DEPENDENCE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),148
 PYREXIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),148
 LETHARGY,VISITED A HEALTH CARE PROVIDER,148
 HEADACHE, NON-SERIOUS INJURIES/ ILLNESS,148
 DYSPNOEA, SERIOUS INJURIES/ ILLNESS,148
PARAESTHESIA,NON-SERIOUS INJURIES/ ILLNESS,147
HYPERSENSITIVITY, HOSPITALIZATION,147
 PYREXIA,VISITED AN ER,147
 LIVER FUNCTION TEST ABNORMAL,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),147
 HYPOAESTHESIA,HOSPITALIZATION,147
 HYPERTENSION,HOSPITALIZATION,147
 HAEMORRHAGE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),147
 CHEST PAIN,VISITED A HEALTH CARE PROVIDER,147
FATIGUE,NON-SERIOUS INJURIES/ ILLNESS,146
 LIVER FUNCTION TEST ABNORMAL, HOSPITALIZATION,146
 FATIGUE, LIFE THREATENING,146
 CONFUSIONAL STATE,VISITED AN ER,146
 CEREBROVASCULAR ACCIDENT, HOSPITALIZATION,146
 ANXIETY,VISITED AN ER,146
 TREMOR, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),145
 RENAL FAILURE, HOSPITALIZATION,145
 PARAESTHESIA,HOSPITALIZATION,145
 HYPERHIDROSIS, HOSPITALIZATION,145
CHEST PAIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),144
 PARAESTHESIA, VISITED A HEALTH CARE PROVIDER,144
 PALPITATIONS, VISITED A HEALTH CARE PROVIDER,144
 PALPITATIONS,NON-SERIOUS INJURIES/ ILLNESS,144
 NAUSEA,LIFE THREATENING,144
 FEELING ABNORMAL, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),144
NEPHROLITHIASIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),143
MALAISE, VISITED AN ER,143
 HAIR TEXTURE ABNORMAL,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),143
 CEREBROVASCULAR ACCIDENT,HOSPITALIZATION,143
 BLOOD POTASSIUM DECREASED, HOSPITALIZATION,143
HYPERSENSITIVITY,HOSPITALIZATION,142
 FEELING OF BODY TEMPERATURE CHANGE,VISITED A HEALTH CARE PROVIDER,142
 CONSTIPATION,VISITED A HEALTH CARE PROVIDER,142
FATIGUE,VISITED A HEALTH CARE PROVIDER,141
 FLATULENCE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),141
 DIZZINESS,LIFE THREATENING,141
 ASPARTATE AMINOTRANSFERASE INCREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),140
CONSTIPATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),139
 TREMOR,VISITED A HEALTH CARE PROVIDER,139
 THROMBOSIS, HOSPITALIZATION,139
 SYNCOPE,VISITED AN ER,139
 MYALGIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),139
 INSOMNIA,NON-SERIOUS INJURIES/ ILLNESS,139
 DIZZINESS,SERIOUS INJURIES/ ILLNESS,139
 CONFUSIONAL STATE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),139
 CONFUSIONAL STATE, HOSPITALIZATION,139
RETCHING,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),138
 EYE SWELLING, VISITED AN ER,138
 DYSPHAGIA, LIFE THREATENING,138
MALAISE,VISITED AN ER,137
CEREBROVASCULAR ACCIDENT, HOSPITALIZATION,137
 NAUSEA, SERIOUS INJURIES/ ILLNESS,137
 JAUNDICE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),137
 FOOD POISONING,VISITED A HEALTH CARE PROVIDER,137
 BACK PAIN,VISITED A HEALTH CARE PROVIDER,137
 ABDOMINAL PAIN,LIFE THREATENING,137
 URTICARIA, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,136
 SWELLING FACE, VISITED AN ER,136
 PYREXIA, VISITED A HEALTH CARE PROVIDER,136
 HEADACHE,LIFE THREATENING,136
 BODY TEMPERATURE INCREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),136
 URTICARIA, HOSPITALIZATION,135
 RASH PAPULAR,NON-SERIOUS INJURIES/ ILLNESS,135
 HEPATIC ENZYME INCREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),135
 DYSPEPSIA,VISITED AN ER,135
 CONFUSIONAL STATE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),135
 URTICARIA,LIFE THREATENING,134
 PAIN, LIFE THREATENING,134
 DYSPEPSIA, VISITED A HEALTH CARE PROVIDER,134
 DECREASED APPETITE, VISITED A HEALTH CARE PROVIDER,134
 CONVULSION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),134
 ABDOMINAL DISCOMFORT,VISITED A HEALTH CARE PROVIDER,134
 VISION BLURRED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),133
 SYNCOPE, HOSPITALIZATION,133
 PYREXIA, HOSPITALIZATION,133
 INSOMNIA,HOSPITALIZATION,133
 HOSPITALISATION,VISITED AN ER,133
 HAEMATOCHEZIA, HOSPITALIZATION,133
 EMOTIONAL DISTRESS,VISITED A HEALTH CARE PROVIDER,133
 BODY TEMPERATURE INCREASED, VISITED AN ER,133
RASH, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),132
CHOKING, LIFE THREATENING,132
 RETCHING,NON-SERIOUS INJURIES/ ILLNESS,132
 LIVER INJURY,VISITED A HEALTH CARE PROVIDER,132
 HAEMORRHAGE,VISITED A HEALTH CARE PROVIDER,132
 DRY SKIN,VISITED A HEALTH CARE PROVIDER,132
 CHEST DISCOMFORT, VISITED AN ER,132
 CHEST DISCOMFORT,HOSPITALIZATION,132
 ALANINE AMINOTRANSFERASE INCREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),132
NAUSEA, NON-SERIOUS INJURIES/ ILLNESS,131
HEADACHE, HOSPITALIZATION,131
FOREIGN BODY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),131
ABDOMINAL PAIN UPPER, VISITED AN ER,131
 URTICARIA,HOSPITALIZATION,131
 TENDERNESS,NON-SERIOUS INJURIES/ ILLNESS,131
 SKIN EXFOLIATION,VISITED A HEALTH CARE PROVIDER,131
 PYREXIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),131
 DECREASED APPETITE,VISITED AN ER,131
 CONVULSION, HOSPITALIZATION,131
PAIN, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),130
LOSS OF CONSCIOUSNESS,HOSPITALIZATION,130
CONVULSION,HOSPITALIZATION,130
 MALAISE, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,130
 JAUNDICE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),130
 HOSPITALISATION,HOSPITALIZATION,130
 ABDOMINAL DISTENSION, HOSPITALIZATION,130
CEREBROVASCULAR ACCIDENT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),129
ABDOMINAL PAIN UPPER, HOSPITALIZATION,129
 GASTROINTESTINAL DISORDER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),129
 CHILLS, VISITED AN ER,129
 CHEST PAIN,NON-SERIOUS INJURIES/ ILLNESS,129
 BLOOD PRESSURE DECREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),129
SYNCOPE,HOSPITALIZATION,128
ABDOMINAL PAIN UPPER,VISITED A HEALTH CARE PROVIDER,128
 SWELLING FACE,NON-SERIOUS INJURIES/ ILLNESS,128
 GAIT DISTURBANCE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),128
 CHOKING,LIFE THREATENING,128
 BLOOD BILIRUBIN INCREASED, VISITED A HEALTH CARE PROVIDER,128
BLOOD PRESSURE INCREASED,VISITED A HEALTH CARE PROVIDER,127
 PAIN IN EXTREMITY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),127
 INFLUENZA LIKE ILLNESS,NON-SERIOUS INJURIES/ ILLNESS,127
 HYPERHIDROSIS,VISITED A HEALTH CARE PROVIDER,127
 ERYTHEMA,HOSPITALIZATION,127
 DYSPHAGIA,HOSPITALIZATION,127
 DYSPEPSIA, HOSPITALIZATION,127
 CONFUSIONAL STATE, VISITED A HEALTH CARE PROVIDER,127
 BURNING SENSATION, NON-SERIOUS INJURIES/ ILLNESS,127
 BLOOD BILIRUBIN INCREASED,VISITED AN ER,127
 ATRIAL FIBRILLATION,HOSPITALIZATION,127
 ANXIETY, VISITED A HEALTH CARE PROVIDER,127
 SWELLING FACE,VISITED AN ER,126
 FATIGUE, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,126
 FAECES DISCOLOURED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),126
 ARTHRALGIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),126
 ALOPECIA,DISABILITY,126
PRURITUS, VISITED AN ER,125
HEART RATE INCREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),125
FATIGUE,HOSPITALIZATION,125
 PYREXIA,HOSPITALIZATION,125
 GASTROINTESTINAL DISORDER,VISITED A HEALTH CARE PROVIDER,125
 FEELING ABNORMAL, VISITED AN ER,125
 CONVULSION,HOSPITALIZATION,125
 COMPUTERISED TOMOGRAM ABNORMAL, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),125
HOSPITALISATION,HOSPITALIZATION,124
FATIGUE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),124
 SWOLLEN TONGUE, VISITED AN ER,124
 SKIN IRRITATION,VISITED A HEALTH CARE PROVIDER,124
 PALPITATIONS, HOSPITALIZATION,124
MYOCARDIAL INFARCTION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),123
BLOOD PRESSURE INCREASED,HOSPITALIZATION,123
 FLUSHING,VISITED AN ER,123
 FALL, VISITED AN ER,123
 DEHYDRATION,NON-SERIOUS INJURIES/ ILLNESS,123
 PAIN, NON-SERIOUS INJURIES/ ILLNESS,122
 LIP SWELLING, VISITED AN ER,122
 HYPOAESTHESIA, VISITED A HEALTH CARE PROVIDER,122
 HAEMORRHAGE, HOSPITALIZATION,122
 BLOOD CREATININE INCREASED,VISITED AN ER,122
 ASPARTATE AMINOTRANSFERASE INCREASED, VISITED A HEALTH CARE PROVIDER,122
 ABDOMINAL DISTENSION,VISITED AN ER,122
VOMITING, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),121
ABDOMINAL PAIN, VISITED A HEALTH CARE PROVIDER,121
 VOMITING, SERIOUS INJURIES/ ILLNESS,121
 THROAT TIGHTNESS,VISITED AN ER,121
 PANCREATITIS,HOSPITALIZATION,121
 GAIT DISTURBANCE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),121
 DRY SKIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),121
 ABDOMINAL DISCOMFORT, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),121
 TRICHORRHEXIS,NON-SERIOUS INJURIES/ ILLNESS,120
 TENDERNESS,VISITED A HEALTH CARE PROVIDER,120
 LOSS OF CONSCIOUSNESS,VISITED A HEALTH CARE PROVIDER,120
 HEADACHE, LIFE THREATENING,120
 HAEMATOCHEZIA,VISITED A HEALTH CARE PROVIDER,120
 CHEST DISCOMFORT, HOSPITALIZATION,120
 CEREBROVASCULAR ACCIDENT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),120
 TREMOR, HOSPITALIZATION,119
 MIGRAINE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),119
 FOREIGN BODY TRAUMA,LIFE THREATENING,119
 FATIGUE,DISABILITY,119
CHEST PAIN, VISITED AN ER,118
 MUSCLE SPASMS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),118
 MUSCLE SPASMS,NON-SERIOUS INJURIES/ ILLNESS,118
 HYPERSENSITIVITY,DISABILITY,118
 BLOOD POTASSIUM DECREASED,HOSPITALIZATION,118
ABDOMINAL PAIN UPPER, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),117
 PARAESTHESIA, HOSPITALIZATION,117
 HAEMOGLOBIN DECREASED,HOSPITALIZATION,117
 FLUSHING, VISITED AN ER,117
 DIZZINESS, SERIOUS INJURIES/ ILLNESS,117
 ALOPECIA, NON-SERIOUS INJURIES/ ILLNESS,117
 ALANINE AMINOTRANSFERASE INCREASED, VISITED A HEALTH CARE PROVIDER,117
DEPENDENCE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),116
BLOOD PRESSURE INCREASED, VISITED AN ER,116
 VISION BLURRED,NON-SERIOUS INJURIES/ ILLNESS,116
 FEELING ABNORMAL,VISITED AN ER,116
 FALL, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),116
OVARIAN CANCER, HOSPITALIZATION,115
 SWELLING, LIFE THREATENING,115
 HEPATITIS,HOSPITALIZATION,115
 DRY SKIN,NON-SERIOUS INJURIES/ ILLNESS,115
 DIZZINESS, NON-SERIOUS INJURIES/ ILLNESS,115
 CONSTIPATION,VISITED AN ER,115
 ABDOMINAL DISTENSION, VISITED A HEALTH CARE PROVIDER,115
 ABDOMINAL DISCOMFORT, HOSPITALIZATION,115
 SWELLING FACE,VISITED A HEALTH CARE PROVIDER,114
 SKIN DISCOLOURATION,NON-SERIOUS INJURIES/ ILLNESS,114
 PAIN IN EXTREMITY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),114
 PAIN IN EXTREMITY,DISABILITY,114
 DEPRESSION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),114
 CONSTIPATION,NON-SERIOUS INJURIES/ ILLNESS,114
MALAISE, HOSPITALIZATION,113
 GASTROOESOPHAGEAL REFLUX DISEASE, HOSPITALIZATION,113
 DYSPHAGIA,VISITED AN ER,113
 DYSPHAGIA, HOSPITALIZATION,113
 ABDOMINAL PAIN,SERIOUS INJURIES/ ILLNESS,113
SWELLING,VISITED A HEALTH CARE PROVIDER,112
FEELING OF BODY TEMPERATURE CHANGE,VISITED A HEALTH CARE PROVIDER,112
 URINARY TRACT INFECTION,VISITED A HEALTH CARE PROVIDER,112
 PRURITUS,LIFE THREATENING,112
 PNEUMONIA,HOSPITALIZATION,112
 NAUSEA,SERIOUS INJURIES/ ILLNESS,112
 LOCAL SWELLING,VISITED AN ER,112
 HYPERTENSION,VISITED AN ER,112
 FEELING HOT, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),112
 EMERGENCY CARE EXAMINATION, VISITED AN ER,112
 BLOOD PRESSURE DECREASED,HOSPITALIZATION,112
 BLOOD GLUCOSE INCREASED, VISITED AN ER,112
 ANAPHYLACTIC REACTION,VISITED AN ER,112
ERYTHEMA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),111
DYSPNOEA, VISITED A HEALTH CARE PROVIDER,111
 THROAT TIGHTNESS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),111
 THROAT IRRITATION, VISITED AN ER,111
 SWELLING FACE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),111
 SOMNOLENCE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),111
 PHARYNGITIS,NON-SERIOUS INJURIES/ ILLNESS,111
 MYALGIA,HOSPITALIZATION,111
 LIVER FUNCTION TEST ABNORMAL, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),111
 FEELING HOT,NON-SERIOUS INJURIES/ ILLNESS,111
 DYSPHAGIA,LIFE THREATENING,111
 COUGH, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),111
 BLOOD POTASSIUM DECREASED,VISITED AN ER,111
 BLOOD CREATININE INCREASED, VISITED A HEALTH CARE PROVIDER,111
 ABDOMINAL PAIN UPPER,DISABILITY,111
TOOTH INJURY,VISITED A HEALTH CARE PROVIDER,110
DEHYDRATION,HOSPITALIZATION,110
ABDOMINAL PAIN, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),110
 LOCAL SWELLING, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),110
 DIARRHOEA, SERIOUS INJURIES/ ILLNESS,110
 CONVULSION,VISITED AN ER,110
 BLOOD GLUCOSE INCREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),110
 ASTHENIA, LIFE THREATENING,110
PALPITATIONS, VISITED AN ER,109
LETHARGY,NON-SERIOUS INJURIES/ ILLNESS,109
CHEST PAIN,VISITED A HEALTH CARE PROVIDER,109
 SKIN EXFOLIATION,NON-SERIOUS INJURIES/ ILLNESS,109
 PHARYNGEAL OEDEMA, VISITED AN ER,109
 MALAISE, LIFE THREATENING,109
 DECREASED APPETITE, VISITED AN ER,109
 CHROMATURIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),109
NAUSEA,LIFE THREATENING,108
CONVULSION, HOSPITALIZATION,108
 SPEECH DISORDER, VISITED AN ER,108
 GASTROOESOPHAGEAL REFLUX DISEASE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),108
 CHILLS,VISITED AN ER,108
MYOCARDIAL INFARCTION,HOSPITALIZATION,107
COUGH,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),107
 SKIN DISCOLOURATION,VISITED A HEALTH CARE PROVIDER,107
 RECTAL HAEMORRHAGE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),107
 INTERNATIONAL NORMALISED RATIO INCREASED, HOSPITALIZATION,107
 INFECTION,VISITED A HEALTH CARE PROVIDER,107
 FLATULENCE, HOSPITALIZATION,107
 DYSPHAGIA, VISITED AN ER,107
 SYNCOPE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),106
 ORAL DISCOMFORT,NON-SERIOUS INJURIES/ ILLNESS,106
 CONDITION AGGRAVATED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),106
 BURNING SENSATION,HOSPITALIZATION,106
 URINARY TRACT INFECTION, HOSPITALIZATION,105
 SWELLING, NON-SERIOUS INJURIES/ ILLNESS,105
 MUSCLE SPASMS,HOSPITALIZATION,105
 JAUNDICE,VISITED AN ER,105
 INTERNATIONAL NORMALISED RATIO INCREASED,HOSPITALIZATION,105
 HEART RATE IRREGULAR,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),105
 HEART RATE INCREASED,LIFE THREATENING,105
 HAIR TEXTURE ABNORMAL,NON-SERIOUS INJURIES/ ILLNESS,105
 DIZZINESS,DISABILITY,105
 COUGH,NON-SERIOUS INJURIES/ ILLNESS,105
JAUNDICE,HOSPITALIZATION,104
 FEELING OF BODY TEMPERATURE CHANGE,VISITED AN ER,104
 EYE SWELLING,NON-SERIOUS INJURIES/ ILLNESS,104
 EMERGENCY CARE EXAMINATION,VISITED AN ER,104
